query,target,Similarity
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,O=C1NC(=O)c2cc(OCCCc3ccccc3)ccc12,0.5386949924127465
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,O=C1NC(=O)c2cc(OCCCc3ccccc3)ccc12,0.5119798234552333
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,O=C1NC(=O)c2cc(OCCc3ccc(Br)cc3)ccc12,0.5100286532951289
COc1ccc(CNC(=O)C(=O)NC(C)C)cc1,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(=O)N,0.5011037527593819
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,O=C1NC(=O)c2cc(OCCc3ccc(Br)cc3)ccc12,0.4856115107913669
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc12,0.4686609686609687
Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,O=C1CCc2ccc(OCCc3ccccc3)cc2N1,0.4314214463840399
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc12,0.43058823529411766
NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,O=C1NC(=O)c2cc(OCCCc3ccccc3)ccc12,0.4298642533936652
NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(=O)N,0.4262295081967213
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,O=C1NC(=O)c2cc(OCCCc3ccccc3)ccc12,0.4212962962962963
C[C@]1(C(=O)Nc2ccc3c(c2)CCN3)CNCCO1,O=C1Nc2cc(CCc3ccccc3)ccc2C1=O,0.41835518474374256
Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,O=C1CCc2ccc(OCc3ccccc3)cc2N1,0.41379310344827586
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,O=C1NC(=O)c2cc(OCCc3ccc(Br)cc3)ccc12,0.4136008918617614
Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,O=C1CCc2ccc(OCc3ccc(Br)cc3)cc2N1,0.40979689366786143
NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,NC(=O)c1ccc(OCc2ccc(F)cc2)cc1,0.4079207920792079
